bank,date,var_99_gaussian,var_99_boa_factor
goldmansachs,2025-09-30,128.70303659181596,182.0
morganstanley,2025-09-30,83.4448259221664,118.0
jpmorgan,2025-09-30,46.67252975307612,66.0
citigroup,2025-09-30,128.0,128.0
bankofamerica,2025-09-30,71.0,71.0
wellsfargo,2025-09-30,33.0,33.0
bny,2025-09-30,1.6,1.6
statestreet,2025-09-30,9.392,9.392
goldmansachs,2025-06-30,138.6032701758018,196.0
morganstanley,2025-06-30,70.71595417132745,100.0
jpmorgan,2025-06-30,59.40140150391506,84.0
citigroup,2025-06-30,130.0,130.0
bankofamerica,2025-06-30,89.0,89.0
wellsfargo,2025-06-30,30.0,30.0
bny,2025-06-30,2.6,2.6
statestreet,2025-06-30,6.697,6.697
goldmansachs,2025-03-31,128.70303659181596,182.0
morganstanley,2025-03-31,70.71595417132745,100.0
jpmorgan,2025-03-31,70.71595417132745,100.0
citigroup,2025-03-31,129.0,129.0
bankofamerica,2025-03-31,99.0,99.0
wellsfargo,2025-03-31,25.0,25.0
bny,2025-03-31,1.7,1.7
statestreet,2025-03-31,9.709,9.709
goldmansachs,2024-12-31,135.7746320089487,192.0
morganstanley,2024-12-31,65.05867783762126,92.0
jpmorgan,2024-12-31,56.572763337061964,80.0
citigroup,2024-12-31,125.0,125.0
bankofamerica,2024-12-31,74.0,74.0
wellsfargo,2024-12-31,24.0,24.0
bny,2024-12-31,1.7,1.7
statestreet,2024-12-31,11.483,11.483
goldmansachs,2024-09-30,130.11735567524252,184.0
morganstanley,2024-09-30,65.05867783762126,92.0
jpmorgan,2024-09-30,63.64435875419471,90.0
citigroup,2024-09-30,119.0,119.0
bankofamerica,2024-09-30,81.0,81.0
wellsfargo,2024-09-30,24.0,24.0
bny,2024-09-30,2.0,2.0
statestreet,2024-09-30,14.117,14.117
goldmansachs,2024-06-30,128.70303659181596,182.0
morganstanley,2024-06-30,67.88731600447436,96.0
jpmorgan,2024-06-30,79.20186867188676,112.0
citigroup,2024-06-30,124.0,124.0
bankofamerica,2024-06-30,96.0,96.0
wellsfargo,2024-06-30,29.0,29.0
bny,2024-06-30,1.8,1.8
statestreet,2024-06-30,18.667,18.667
goldmansachs,2024-03-31,123.04576025810977,174.0
morganstanley,2024-03-31,76.37323050503365,108.0
jpmorgan,2024-03-31,67.88731600447436,96.0
citigroup,2024-03-31,165.0,165.0
bankofamerica,2024-03-31,85.0,85.0
wellsfargo,2024-03-31,40.0,40.0
bny,2024-03-31,1.8,1.8
statestreet,2024-03-31,12.186,12.186
goldmansachs,2023-12-31,128.70303659181596,182.0
morganstanley,2023-12-31,65.05867783762126,92.0
jpmorgan,2023-12-31,49.501167919929216,70.0
citigroup,2023-12-31,153.0,153.0
bankofamerica,2023-12-31,86.0,86.0
wellsfargo,2023-12-31,32.0,32.0
bny,2023-12-31,2.2,2.2
statestreet,2023-12-31,15.157,15.157
goldmansachs,2023-09-30,123.04576025810977,174.0
morganstanley,2023-09-30,67.88731600447436,96.0
jpmorgan,2023-09-30,57.98708242048851,82.0
citigroup,2023-09-30,132.0,132.0
