year,var_95,var_99,ratio
2025-09-30,31,71,2.2903225806451615
2025-06-30,38,89,2.3421052631578947
2025-03-31,44,99,2.25
2024-12-31,38,74,1.9473684210526316
2024-09-30,42,81,1.9285714285714286
2024-06-30,48,96,2.0
2024-03-31,46,85,1.8478260869565217
2023-12-31,46,86,1.8695652173913044
2023-09-30,41,77,1.8780487804878048
2023-06-30,45,81,1.8
2023-03-31,45,124,2.7555555555555555
2022-12-31,35,68,1.9428571428571428
2022-09-30,23,51,2.217391304347826
2022-06-30,35,84,2.4
2022-03-31,39,91,2.3333333333333335
2021-12-31,38,74,1.9473684210526316
2021-09-30,29,66,2.2758620689655173
2021-06-30,35,84,2.4
2021-03-31,44,99,2.25
2020-12-31,38,74,1.9473684210526316
2020-09-30,31,71,2.2903225806451615
2020-06-30,38,89,2.3421052631578947
2020-03-31,44,99,2.25
2019-12-31,46,86,1.8695652173913044
2019-09-30,45,81,1.8
2019-06-30,48,96,2.0
2019-03-31,46,85,1.8478260869565217
2018-12-31,46,86,1.8695652173913044
2018-09-30,41,77,1.8780487804878048
2018-06-30,48,96,2.0
2018-03-31,46,85,1.8478260869565217
2017-12-31,46,86,1.8695652173913044
2017-09-30,42,81,1.9285714285714286
2017-06-30,48,96,2.0
2017-03-31,23,44,1.9130434782608696
2016-12-31,22,43,1.9545454545454546
2016-09-30,26,47,1.8076923076923077
2016-06-30,27,54,2.0
2016-03-31,27,50,1.8518518518518519
2015-12-31,26,53,2.0384615384615383
2015-09-30,28,60,2.142857142857143
2015-06-30,25,61,2.44
2015-03-31,33,71,2.1515151515151514
2014-12-31,26,59,2.269230769230769
2014-09-30,27,56,2.074074074074074
2014-06-30,30,59,1.9666666666666666
2014-03-31,41,84,2.048780487804878
