bank_id,period_end_date,var_95,var_99,var_99_gaussian,var_99_boa_factor,var_99_source_gaussian,var_99_source_boa,var_level_dummy_99
bank_of_america,2014-03-31,41.0,84.0,84.0,84.0,reported_99,reported_99,1
bank_of_america,2014-06-30,30.0,59.0,59.0,59.0,reported_99,reported_99,1
bank_of_america,2014-09-30,27.0,56.0,56.0,56.0,reported_99,reported_99,1
bank_of_america,2014-12-31,26.0,59.0,59.0,59.0,reported_99,reported_99,1
bank_of_america,2015-03-31,33.0,71.0,71.0,71.0,reported_99,reported_99,1
bank_of_america,2015-06-30,25.0,61.0,61.0,61.0,reported_99,reported_99,1
bank_of_america,2015-09-30,28.0,60.0,60.0,60.0,reported_99,reported_99,1
bank_of_america,2015-12-31,26.0,53.0,53.0,53.0,reported_99,reported_99,1
bank_of_america,2016-03-31,27.0,50.0,50.0,50.0,reported_99,reported_99,1
bank_of_america,2016-06-30,27.0,54.0,54.0,54.0,reported_99,reported_99,1
bank_of_america,2016-09-30,26.0,47.0,47.0,47.0,reported_99,reported_99,1
bank_of_america,2016-12-31,22.0,43.0,43.0,43.0,reported_99,reported_99,1
bank_of_america,2017-03-31,23.0,44.0,44.0,44.0,reported_99,reported_99,1
bank_of_america,2017-06-30,48.0,96.0,96.0,96.0,reported_99,reported_99,1
bank_of_america,2017-09-30,42.0,81.0,81.0,81.0,reported_99,reported_99,1
bank_of_america,2017-12-31,46.0,86.0,86.0,86.0,reported_99,reported_99,1
bank_of_america,2018-03-31,46.0,85.0,85.0,85.0,reported_99,reported_99,1
bank_of_america,2018-06-30,48.0,96.0,96.0,96.0,reported_99,reported_99,1
bank_of_america,2018-09-30,41.0,77.0,77.0,77.0,reported_99,reported_99,1
bank_of_america,2018-12-31,46.0,86.0,86.0,86.0,reported_99,reported_99,1
bank_of_america,2019-03-31,46.0,85.0,85.0,85.0,reported_99,reported_99,1
bank_of_america,2019-06-30,48.0,96.0,96.0,96.0,reported_99,reported_99,1
bank_of_america,2019-09-30,45.0,81.0,81.0,81.0,reported_99,reported_99,1
bank_of_america,2019-12-31,46.0,86.0,86.0,86.0,reported_99,reported_99,1
bank_of_america,2020-03-31,44.0,99.0,99.0,99.0,reported_99,reported_99,1
bank_of_america,2020-06-30,38.0,89.0,89.0,89.0,reported_99,reported_99,1
bank_of_america,2020-09-30,31.0,71.0,71.0,71.0,reported_99,reported_99,1
bank_of_america,2020-12-31,38.0,74.0,74.0,74.0,reported_99,reported_99,1
bank_of_america,2021-03-31,44.0,99.0,99.0,99.0,reported_99,reported_99,1
bank_of_america,2021-06-30,35.0,84.0,84.0,84.0,reported_99,reported_99,1
bank_of_america,2021-09-30,29.0,66.0,66.0,66.0,reported_99,reported_99,1
bank_of_america,2021-12-31,38.0,74.0,74.0,74.0,reported_99,reported_99,1
bank_of_america,2022-03-31,39.0,91.0,91.0,91.0,reported_99,reported_99,1
bank_of_america,2022-06-30,35.0,84.0,84.0,84.0,reported_99,reported_99,1
bank_of_america,2022-09-30,23.0,51.0,51.0,51.0,reported_99,reported_99,1
bank_of_america,2022-12-31,35.0,68.0,68.0,68.0,reported_99,reported_99,1
bank_of_america,2023-03-31,45.0,124.0,124.0,124.0,reported_99,reported_99,1
bank_of_america,2023-06-30,45.0,81.0,81.0,81.0,reported_99,reported_99,1
bank_of_america,2023-09-30,41.0,77.0,77.0,77.0,reported_99,reported_99,1
bank_of_america,2023-12-31,46.0,86.0,86.0,86.0,reported_99,reported_99,1
bank_of_america,2024-03-31,46.0,85.0,85.0,85.0,reported_99,reported_99,1
bank_of_america,2024-06-30,48.0,96.0,96.0,96.0,reported_99,reported_99,1
bank_of_america,2024-09-30,42.0,81.0,81.0,81.0,reported_99,reported_99,1
bank_of_america,2024-12-31,38.0,74.0,74.0,74.0,reported_99,reported_99,1
bank_of_america,2025-03-31,44.0,99.0,99.0,99.0,reported_99,reported_99,1
bank_of_america,2025-06-30,38.0,89.0,89.0,89.0,reported_99,reported_99,1
bank_of_america,2025-09-30,31.0,71.0,71.0,71.0,reported_99,reported_99,1
citibank,2014-03-31,,156.0,156.0,156.0,reported_99,reported_99,1
citibank,2014-06-30,,59.0,59.0,59.0,reported_99,reported_99,1
citibank,2014-09-30,,121.0,121.0,121.0,reported_99,reported_99,1
citibank,2014-12-31,,120.0,120.0,120.0,reported_99,reported_99,1
citibank,2015-03-31,,131.0,131.0,131.0,reported_99,reported_99,1
citibank,2015-06-30,,113.0,113.0,113.0,reported_99,reported_99,1
citibank,2015-09-30,,116.0,116.0,116.0,reported_99,reported_99,1
citibank,2015-12-31,,107.0,107.0,107.0,reported_99,reported_99,1
citibank,2016-03-31,,108.0,108.0,108.0,reported_99,reported_99,1
