var_method,model,estimator,coefficient,std_error,t_stat,p_value,r_squared,n_obs,n_banks
Gaussian,Model 1: Leverage ~ UnitVaR,Bank FE,-0.0025969769721713716,0.042846353180965455,-0.06061138882001939,0.9517127280560453,5.295043414266232e-05,282,6
Gaussian,Model 1: Leverage ~ UnitVaR,Pooled,0.04988441193523699,0.027428054866014278,1.8187367707597841,0.0700197904517399,0.06944176846036731,282,6
Gaussian,Model 2: Assets ~ VaR,Bank FE,0.18933202953087988,0.10146473580222962,1.8659884937749913,0.06310745982035892,0.11715993023973381,282,6
Gaussian,Model 2: Assets ~ VaR,Pooled,-0.01185320351707824,0.09582805600369608,-0.12369241338487616,0.9016475630297098,0.00022487625628775376,282,6
Gaussian,Model 3: Equity ~ VaR,Bank FE,0.038520496765925206,0.058767598670872175,0.6554716823067619,0.5127120702832904,0.01261398096659272,282,6
Gaussian,Model 3: Equity ~ VaR,Pooled,-0.09190071264273676,0.12842975113280083,-0.7155718346577518,0.4748520514226984,0.012271728546726757,282,6
Simple_x2,Model 1: Leverage ~ UnitVaR,Bank FE,-0.002596976972171387,0.04284635318096547,-0.06061138882001973,0.9517127280560449,5.295043414266232e-05,282,6
Simple_x2,Model 1: Leverage ~ UnitVaR,Pooled,0.05915131331479006,0.018016593472830394,3.2831574628129427,0.0011568588519319523,0.12174888966344599,282,6
Simple_x2,Model 2: Assets ~ VaR,Bank FE,0.18933202953087996,0.10146473580222964,1.8659884937749918,0.06310745982035892,0.11715993023973381,282,6
Simple_x2,Model 2: Assets ~ VaR,Pooled,-0.08780441226654905,0.11106938350919582,-0.7905365951660245,0.4298835020475744,0.015018115908175811,282,6
Simple_x2,Model 3: Equity ~ VaR,Bank FE,0.03852049676592522,0.058767598670872175,0.6554716823067621,0.5127120702832899,0.012613980966592608,282,6
Simple_x2,Model 3: Equity ~ VaR,Pooled,-0.18591240040594942,0.14306114837390085,-1.2995310223573326,0.19483066622981382,0.061121689398638046,282,6
