date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,dividend_payout_ratio,repo,total_var
2025-12-31,2025,4,bankofamerica,3411738.0,303243.0,3108495.0,12.8,112.0,6.8,0.91,28.5,344716.0,
2025-12-31,2025,4,bny,472300.0,44313.0,427579.0,13.0,112.0,6.7,1.26,26.42,18992.0,
2025-12-31,2025,4,citigroup,2657202.0,212291.0,2443380.0,11.93,115.0,5.48,0.58,50.56,328196.0,
2025-12-31,2025,4,goldmansachs,1809320.0,124972.0,1684348.0,15.1,123.0,6.6,0.99,28.26,223384.0,
2025-12-31,2025,4,jpmorgan,4424900.0,362438.0,4062462.0,14.1,111.0,6.4,1.35,32.24,433360.0,
2025-12-31,2025,4,morganstanley,1420270.0,111632.0,1307618.0,15.0,134.0,5.4,1.29,37.29,78539.0,
2025-12-31,2025,4,statestreet,366047.0,27841.0,338206.0,13.0,,6.0,0.82,34.16,841.0,
2025-12-31,2025,4,wellsfargo,2148631.0,181117.0,1965593.0,10.61,119.0,6.23,1.05,27.94,232687.0,
2025-09-30,2025,3,bankofamerica,3403716.0,304152.0,3099564.0,13.1,113.0,6.8,0.88,25.86,342588.0,71.0
2025-09-30,2025,3,bny,455312.0,43879.0,411062.0,12.2,112.0,6.7,1.19,28.45,16585.0,1.6
2025-09-30,2025,3,citigroup,2642475.0,213023.0,2428598.0,11.74,115.0,5.52,0.58,32.51,327517.0,128.0
2025-09-30,2025,3,goldmansachs,1807982.0,124402.0,1683580.0,15.1,128.0,5.2,0.94,32.44,217797.0,128.70303659181596
2025-09-30,2025,3,jpmorgan,4560205.0,360212.0,4199993.0,14.9,110.0,5.8,1.32,29.44,553204.0,46.67252975307612
2025-09-30,2025,3,morganstanley,1364806.0,109962.0,1253755.0,15.1,129.0,6.8,1.24,35.78,61504.0,83.4448259221664
2025-09-30,2025,3,statestreet,371070.0,27642.0,343428.0,13.1,1.06,6.0,0.84,29.55,206.0,9.392
2025-09-30,2025,3,wellsfargo,2062926.0,181154.0,1879914.0,10.99,121.0,6.42,1.06,27.34,194240.0,33.0
2025-06-30,2025,2,bankofamerica,3441142.0,299599.0,3141543.0,13.0,114.0,6.7,0.83,28.72,399460.0,89.0
2025-06-30,2025,2,bny,485781.0,43950.0,441353.0,11.9,112.0,6.9,1.09,24.87,15492.0,2.6
2025-06-30,2025,2,citigroup,2622772.0,213222.0,2408642.0,11.9,115.0,5.53,0.57,28.86,330203.0,130.0
2025-06-30,2025,2,goldmansachs,1785009.0,124096.0,1660913.0,15.3,128.0,5.3,0.91,27.56,230217.0,138.6032701758018
2025-06-30,2025,2,jpmorgan,4552482.0,356924.0,4195558.0,15.2,113.0,5.9,1.3,26.64,588038.0,59.40140150391506
2025-06-30,2025,2,morganstanley,1353870.0,108184.0,1244600.0,15.0,134.0,6.8,1.16,43.57,69537.0,70.71595417132745
2025-06-30,2025,2,statestreet,376717.0,27307.0,349410.0,12.5,1.07,5.8,0.81,34.44,2377.0,6.697
2025-06-30,2025,2,wellsfargo,1981269.0,181111.0,1798315.0,11.13,121.0,6.67,1.06,25.14,154011.0,30.0
2025-03-31,2025,1,bankofamerica,3349424.0,295581.0,3053843.0,13.3,112.0,6.8,0.84,28.5,376070.0,99.0
2025-03-31,2025,1,bny,440691.0,43119.0,397162.0,12.0,116.0,6.9,1.08,29.85,15663.0,1.7
2025-03-31,2025,1,citigroup,2571514.0,212408.0,2358256.0,11.93,117.0,5.0,0.54,28.57,386238.0,129.0
2025-03-31,2025,1,goldmansachs,1766181.0,124300.0,1641881.0,15.5,130.0,6.8,0.86,21.3,248997.0,128.70303659181596
2025-03-31,2025,1,jpmorgan,4357856.0,351420.0,4006436.0,15.6,113.0,6.0,1.41,27.51,525932.0,70.71595417132745
2025-03-31,2025,1,morganstanley,1300296.0,106812.0,1192449.0,15.7,130.0,5.6,1.14,35.89,69272.0,70.71595417132745
2025-03-31,2025,1,statestreet,372693.0,26692.0,346001.0,12.6,1.06,6.0,0.81,36.85,3524.0,9.709
2025-03-31,2025,1,wellsfargo,1950311.0,181090.0,1767405.0,11.09,125.0,6.79,1.03,29.09,124825.0,25.0
2024-12-31,2024,4,bankofamerica,3261519.0,295559.0,2965960.0,13.5,113.0,6.9,0.84,32.12,331758.0,74.0
2024-12-31,2024,4,bny,416064.0,41318.0,374387.0,11.7,115.0,6.5,1.1,30.88,14064.0,1.7
2024-12-31,2024,4,citigroup,2352945.0,208598.0,2143579.0,12.14,116.0,5.85,0.54,41.94,239767.0,125.0
2024-12-31,2024,4,goldmansachs,1675972.0,121996.0,1553976.0,15.3,126.0,6.8,0.86,24.6,274380.0,135.7746320089487
2024-12-31,2024,4,jpmorgan,4002814.0,344758.0,3658056.0,15.8,113.0,6.1,1.48,25.94,292067.0,56.57276333706197
2024-12-31,2024,4,morganstanley,1215071.0,104511.0,1109643.0,15.9,130.0,5.6,1.12,41.69,50067.0,65.05867783762126
2024-12-31,2024,4,statestreet,353240.0,25326.0,327914.0,12.0,1.07,5.7,0.83,30.22,3681.0,11.483
2024-12-31,2024,4,wellsfargo,1929845.0,179120.0,1748779.0,11.07,125.0,6.74,1.03,28.16,13571.0,24.0
2024-09-30,2024,3,bankofamerica,3324293.0,296512.0,3027781.0,13.5,115.0,6.9,0.72,31.68,397958.0,81.0
2024-09-30,2024,3,bny,427461.0,41992.0,385178.0,12.0,116.0,7.0,0.86,31.8,14574.0,2.0
2024-09-30,2024,3,citigroup,2430663.0,209083.0,2220761.0,12.16,117.0,5.0,0.34,37.47,263298.0,119.0
2024-09-30,2024,3,goldmansachs,1728080.0,121200.0,1606880.0,15.5,133.0,5.5,0.74,35.18,261617.0,130.11735567524252
2024-09-30,2024,3,jpmorgan,4210048.0,345836.0,3864212.0,15.5,114.0,6.0,1.33,28.48,384815.0,63.64435875419471
2024-09-30,2024,3,morganstanley,1258027.0,103647.0,1153356.0,14.9,134.0,5.5,0.93,49.27,58329.0,65.05867783762126
2024-09-30,2024,3,statestreet,338481.0,25828.0,312653.0,12.5,1.07,5.95,0.68,32.84,2119.0,14.117
2024-09-30,2024,3,wellsfargo,1922125.0,183265.0,1737114.0,11.34,127.0,6.92,0.95,28.52,97544.0,24.0
2024-06-30,2024,2,bankofamerica,3257996.0,293892.0,2964104.0,13.5,113.0,6.0,0.76,28.67,368106.0,96.0
2024-06-30,2024,2,bny,428539.0,40843.0,387510.0,11.5,115.0,6.8,0.8,28.17,15701.0,1.8
2024-06-30,2024,2,citigroup,2405686.0,208310.0,2196542.0,12.16,117.0,5.89,0.35,34.79,291878.0,124.0
2024-06-30,2024,2,goldmansachs,1653313.0,119463.0,1533850.0,15.9,126.0,5.4,0.7,32.13,238139.0,128.70303659181596
2024-06-30,2024,2,jpmorgan,4143003.0,340552.0,3802451.0,15.5,112.0,6.1,1.35,18.75,397320.0,79.20186867188676
2024-06-30,2024,2,morganstanley,1212447.0,100714.0,1110841.0,15.2,131.0,6.8,0.89,46.8,65677.0,67.88731600447436
2024-06-30,2024,2,statestreet,325603.0,24762.0,300841.0,12.0,1.06,5.8,0.58,31.6,2716.0,18.667
2024-06-30,2024,2,wellsfargo,1940073.0,176430.0,1761925.0,12.28,124.0,6.67,0.98,26.47,105833.0,29.0
2024-03-31,2024,1,bankofamerica,3273803.0,293552.0,2980251.0,13.4,113.0,7.1,0.77,31.1,329658.0,85.0
2024-03-31,2024,1,bny,434728.0,40569.0,394048.0,11.1,117.0,7.0,0.78,34.0,15112.0,1.8
2024-03-31,2024,1,citigroup,2432510.0,206585.0,2225112.0,11.95,117.0,5.84,0.33,33.79,288746.0,165.0
2024-03-31,2024,1,goldmansachs,1698440.0,118546.0,1579894.0,15.9,127.0,5.4,0.58,23.63,267479.0,123.04576025810977
2024-03-31,2024,1,jpmorgan,4090727.0,336637.0,3754090.0,15.3,112.0,6.1,1.29,25.87,322939.0,67.88731600447436
2024-03-31,2024,1,morganstanley,1228503.0,99198.0,1128363.0,15.0,125.0,5.4,0.8,42.56,82404.0,76.37323050503365
2024-03-31,2024,1,statestreet,338003.0,24433.0,313570.0,11.7,1.07,5.95,0.59,49.76,3576.0,12.186
2024-03-31,2024,1,wellsfargo,1959153.0,180943.0,1776479.0,12.43,126.0,6.85,0.98,29.65,22528.0,40.0
2023-12-31,2023,4,bankofamerica,3180151.0,291646.0,2888505.0,13.4,115.0,7.1,0.84,72.87,283887.0,86.0
2023-12-31,2023,4,bny,409877.0,40770.0,369057.0,11.5,117.0,7.3,0.81,202.47,14507.0,2.2
2023-12-31,2023,4,citigroup,2411834.0,205453.0,2205583.0,12.11,116.0,5.82,0.39,,264958.0,153.0
2023-12-31,2023,4,goldmansachs,1641594.0,116905.0,1524689.0,14.9,128.0,5.5,0.55,49.38,249887.0,128.70303659181596
2023-12-31,2023,4,jpmorgan,3875393.0,327878.0,3547515.0,15.0,113.0,6.1,1.31,34.54,213591.0,49.501167919929216
2023-12-31,2023,4,morganstanley,1193693.0,99038.0,1093711.0,15.5,129.0,5.5,0.78,100.65,62651.0,65.05867783762126
2023-12-31,2023,4,statestreet,297258.0,23799.0,273459.0,12.1,1.06,5.85,0.65,121.51,2867.0,15.157
2023-12-31,2023,4,wellsfargo,1932468.0,185735.0,1745025.0,11.43,125.0,7.09,1.0,40.79,77676.0,32.0
2023-09-30,2023,3,bankofamerica,3153090.0,287064.0,2866026.0,13.5,116.0,7.3,0.98,26.38,300703.0,77.0
2023-09-30,2023,3,bny,405248.0,40966.0,364226.0,11.4,121.0,6.1,0.87,34.76,14771.0,2.1
2023-09-30,2023,3,citigroup,2368477.0,209503.0,2158282.0,12.49,117.0,6.04,0.58,32.87,242611.0,132.0
2023-09-30,2023,3,goldmansachs,1577153.0,117277.0,1459876.0,14.8,125.0,5.6,0.5,49.79,225679.0,123.04576025810977
2023-09-30,2023,3,jpmorgan,3898333.0,317371.0,3580962.0,14.5,112.0,6.0,1.34,24.28,262094.0,57.98708242048851
2023-09-30,2023,3,morganstanley,1169013.0,99211.0,1068855.0,16.1,127.0,5.5,0.85,62.07,76661.0,67.88731600447436
2023-09-30,2023,3,statestreet,284415.0,23621.0,260794.0,12.2,1.09,6.05,0.84,53.52,3097.0,11.964
2023-09-30,2023,3,wellsfargo,1909261.0,180715.0,1726888.0,12.04,123.0,6.93,0.97,23.76,80889.0,34.0
2023-06-30,2023,2,bankofamerica,3123198.0,283319.0,2839879.0,13.2,119.0,6.0,0.96,24.88,288627.0,81.0
2023-06-30,2023,2,bny,430382.0,40933.0,389384.0,11.1,120.0,5.7,0.67,28.67,21285.0,3.0
