variable,stat,M1_basel_test,M1_FD_baseline,M2_dummy,M2_FD_dummy,M3a_LCR,M3b_CET1,M3C_SLR,M4_Equity
d_ln_unit_var_lag,coef,+0.0083,+0.0068,+0.0043,+0.0055,+0.0373***,-0.0083,+0.0911**,–
d_ln_unit_var_lag,tstat,(1.27),(1.05),(0.59),(0.65),(3.57),(-0.11),(2.17),
size_lag,coef,-0.0822**,–,-0.0819**,–,-0.1176,-0.1054*,-0.0833*,-0.0075
size_lag,tstat,(-2.49),,(-2.48),,(-1.56),(-1.87),(-1.66),(-1.18)
roa_lag,coef,+0.0075**,–,+0.0075**,–,+0.0129,+0.0137,+0.0144,+0.0174**
roa_lag,tstat,(2.56),,(2.45),,(1.25),(0.98),(1.09),(2.30)
d_size_lag,coef,–,-0.2651***,–,-0.2629***,–,–,–,–
d_size_lag,tstat,,(-6.04),,(-5.90),,,,
d_roa_lag,coef,–,+0.0002,–,+0.0001,–,–,–,–
d_roa_lag,tstat,,(0.04),,(0.02),,,,
d_ln_unit_var_x_market,coef,–,–,-0.0119,-0.0013,–,–,–,–
d_ln_unit_var_x_market,tstat,,,(-1.14),(-0.11),,,,
d_ln_unit_var_x_custody,coef,–,–,+0.0191,+0.0055,–,–,–,–
d_ln_unit_var_x_custody,tstat,,,(1.36),(0.54),,,,
lcr_lag,coef,–,–,–,–,-0.0003,–,–,–
lcr_lag,tstat,,,,,(-0.60),,,
d_ln_unit_var_x_lcr,coef,–,–,–,–,-0.0002,–,–,–
d_ln_unit_var_x_lcr,tstat,,,,,(-1.08),,,
cet1_lag,coef,–,–,–,–,–,+0.0051,–,–
cet1_lag,tstat,,,,,,(1.62),,
d_ln_unit_var_x_cet1,coef,–,–,–,–,–,+0.0021,–,–
d_ln_unit_var_x_cet1,tstat,,,,,,(0.35),,
slr_lag,coef,–,–,–,–,–,–,+0.0005,–
slr_lag,tstat,,,,,,,(0.14),
d_ln_unit_var_x_slr,coef,–,–,–,–,–,–,-0.0119**,–
d_ln_unit_var_x_slr,tstat,,,,,,,(-1.98),
payout_lag,coef,–,–,–,–,–,–,–,-0.0000
payout_lag,tstat,,,,,,,,(-1.61)
N (obs),,510,509,510,509,283,374,356,379
N (banker),,8,8,8,8,8,8,8,8
R² (within),,-0.0885,0.0436,-0.0841,0.0445,-0.0194,-0.0307,-0.0300,-0.0259
Bank FE,,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Tid FE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Y,,d_ln_leverage,d_ln_leverage,d_ln_leverage,d_ln_leverage,d_ln_leverage,d_ln_leverage,d_ln_leverage,d_ln_book_equity
Periode,,2010-03-31 – 2025-12-31,2010-03-31 – 2025-12-31,2010-03-31 – 2025-12-31,2010-03-31 – 2025-12-31,2014-06-30 – 2025-12-31,2014-03-31 – 2025-12-31,2014-03-31 – 2025-12-31,2014-03-31 – 2025-12-31
