model,bank_fe,time_fe,n_obs,n_banks,n_quarters,r2_within,b_cet1_lag1,b_cet1_x_d_log_var_lag1,b_cet1_x_log_var_lag1,b_const,b_custody_x_d_log_var_lag1,b_custody_x_log_var_lag1,b_d_custody,b_d_log_leverage_lag1,b_d_log_var_lag1,b_d_market,b_lcr_lag1,b_lcr_x_d_log_var_lag1,b_lcr_x_log_var_lag1,b_log_assets_lag1,b_log_var_lag1,b_market_x_d_log_var_lag1,b_market_x_log_var_lag1,b_roa_lag1,b_slr_lag1,b_slr_x_d_log_var_lag1,b_slr_x_log_var_lag1,se_cet1_lag1,se_cet1_x_d_log_var_lag1,se_cet1_x_log_var_lag1,se_const,se_custody_x_d_log_var_lag1,se_custody_x_log_var_lag1,se_d_custody,se_d_log_leverage_lag1,se_d_log_var_lag1,se_d_market,se_lcr_lag1,se_lcr_x_d_log_var_lag1,se_lcr_x_log_var_lag1,se_log_assets_lag1,se_log_var_lag1,se_market_x_d_log_var_lag1,se_market_x_log_var_lag1,se_roa_lag1,se_slr_lag1,se_slr_x_d_log_var_lag1,se_slr_x_log_var_lag1,t_cet1_lag1,t_cet1_x_d_log_var_lag1,t_cet1_x_log_var_lag1,t_const,t_custody_x_d_log_var_lag1,t_custody_x_log_var_lag1,t_d_custody,t_d_log_leverage_lag1,t_d_log_var_lag1,t_d_market,t_lcr_lag1,t_lcr_x_d_log_var_lag1,t_lcr_x_log_var_lag1,t_log_assets_lag1,t_log_var_lag1,t_market_x_d_log_var_lag1,t_market_x_log_var_lag1,t_roa_lag1,t_slr_lag1,t_slr_x_d_log_var_lag1,t_slr_x_log_var_lag1
M1_Static_Basis,False,False,360,8,45,0.0028,,,,0.0042,,,,,-0.0103,,,,,,,,,,,,,,,,0.0009,,,,,0.0054,,,,,,,,,,,,,,,,4.7727,,,,,-1.9062,,,,,,,,,,,,
M2_Static_CET1,True,True,354,8,45,-0.0246,0.6044,0.4357,,,,,,,-0.0442,,,,,-0.1123,,,,0.0114,,,,0.3602,0.3499,,,,,,,0.044,,,,,0.0583,,,,0.0132,,,,1.6781,1.2452,,,,,,,-1.0047,,,,,-1.9277,,,,0.861,,,
M3_Static_LCR,True,True,274,8,45,-0.0213,,,,,,,,,-0.0168,,-0.0447,0.0275,,-0.121,,,,0.013,,,,,,,,,,,,0.0077,,0.0578,0.0128,,0.0843,,,,0.0103,,,,,,,,,,,,-2.1896,,-0.7742,2.1426,,-1.435,,,,1.2612,,,
M4_Static_SLR,True,True,339,8,45,-0.0496,,,,,,,,,0.0124,,,,,-0.0914,,,,0.0101,0.1959,-0.1621,,,,,,,,,,0.0169,,,,,0.0545,,,,0.0123,0.3333,0.29,,,,,,,,,,0.7337,,,,,-1.6767,,,,0.8213,0.5878,-0.5589,
M5_Static_Group,False,True,360,8,45,0.0072,,,,,-0.0377,,-0.0447,,0.0125,-0.0176,,,,-0.0214,,0.0304,,0.0107,,,,,,,,0.0148,,0.02,,0.0095,0.0094,,,,0.0092,,0.0145,,0.0073,,,,,,,,-2.5396,,-2.2361,,1.3126,-1.867,,,,-2.3162,,2.0995,,1.4553,,,
M1_Dynamic_Basis,False,False,360,8,45,0.0505,,,,0.0033,,,,-0.223,,,,,,,0.0005,,,,,,,,,,0.0029,,,,0.0609,,,,,,,0.0009,,,,,,,,,,1.1382,,,,-3.6616,,,,,,,0.6239,,,,,,
M2_Dynamic_CET1,True,True,354,8,45,0.046,0.7503,,-0.0973,,,,,-0.2299,,,,,,-0.0773,0.0163,,,0.0138,,,,0.8388,,0.1795,,,,,0.0292,,,,,,0.0468,0.0303,,,0.0153,,,,0.8945,,-0.5422,,,,,-7.8607,,,,,,-1.6506,0.5392,,,0.898,,,
M3_Dynamic_LCR,True,True,274,8,45,0.0734,,,,,,,,-0.2669,,,0.1205,,-0.028,-0.0909,0.0357,,,0.0133,,,,,,,,,,,0.0325,,,0.0553,,0.0145,0.0728,0.0153,,,0.0144,,,,,,,,,,,-8.2136,,,2.1779,,-1.9335,-1.2496,2.3296,,,0.9248,,,
M4_Dynamic_SLR,True,True,339,8,45,0.0406,,,,,,,,-0.3132,,,,,,-0.0704,0.0391,,,0.0081,2.1345,,-0.5235,,,,,,,,0.055,,,,,,0.0391,0.0244,,,0.017,1.3415,,0.3345,,,,,,,,-5.691,,,,,,-1.8014,1.6034,,,0.4774,1.5912,,-1.5651
M5_Dynamic_Group,False,True,360,8,45,0.058,,,,,,-0.0065,-0.0305,-0.2639,,-0.114,,,,-0.0255,0.0043,,0.0206,0.0141,,,,,,,,,0.0054,0.0163,0.0404,,0.0171,,,,0.0067,0.0035,,0.0028,0.012,,,,,,,,,-1.208,-1.8705,-6.5375,,-6.6739,,,,-3.8054,1.2208,,7.4744,1.1818,,,
