date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2025-12-31,2025,4,bankofamerica,3411738.0,277251.0,3108495.0,12.8,112.0,6.8,0.91,10.57,28.5,344716.0,
2025-12-31,2025,4,bny,472300.0,39477.0,427579.0,13.0,112.0,6.7,1.26,13.88,26.42,18992.0,
2025-12-31,2025,4,citigroup,2657202.0,192241.0,2443380.0,11.93,115.0,5.48,0.58,6.8,50.56,328196.0,
2025-12-31,2025,4,goldmansachs,1809320.0,109819.0,1684348.0,15.1,123.0,6.6,0.99,14.92,28.26,223384.0,
2025-12-31,2025,4,jpmorgan,4424900.0,342393.0,4062462.0,14.1,111.0,6.4,1.35,16.69,32.24,433360.0,
2025-12-31,2025,4,morganstanley,1420270.0,101882.0,1307618.0,15.0,134.0,5.4,1.29,16.53,37.29,78539.0,
2025-12-31,2025,4,statestreet,366047.0,24282.0,338206.0,13.0,,6.0,0.82,11.61,34.16,841.0,
2025-12-31,2025,4,wellsfargo,2148631.0,164509.0,1965593.0,10.61,119.0,6.23,1.05,12.48,27.94,232687.0,
2025-09-30,2025,3,bankofamerica,3403716.0,278160.0,3099564.0,13.1,113.0,6.8,0.88,10.21,25.86,342588.0,71.0
2025-09-30,2025,3,bny,455312.0,39043.0,411062.0,12.2,112.0,6.7,1.19,13.06,28.45,16585.0,1.6
2025-09-30,2025,3,citigroup,2642475.0,193973.0,2428598.0,11.74,115.0,5.52,0.58,6.95,32.51,327517.0,128.0
2025-09-30,2025,3,goldmansachs,1807982.0,109249.0,1683580.0,15.1,128.0,5.2,0.94,14.58,32.44,217797.0,128.70303659181596
2025-09-30,2025,3,jpmorgan,4560205.0,340167.0,4199993.0,14.9,110.0,5.8,1.32,17.06,29.44,553204.0,46.67252975307612
2025-09-30,2025,3,morganstanley,1364806.0,100212.0,1253755.0,15.1,129.0,6.8,1.24,16.04,35.78,61504.0,83.4448259221664
2025-09-30,2025,3,statestreet,371070.0,24083.0,343428.0,13.1,1.06,6.0,0.84,11.71,29.55,206.0,9.392
2025-09-30,2025,3,wellsfargo,2062926.0,164546.0,1879914.0,10.99,121.0,6.42,1.06,12.13,27.34,194240.0,33.0
2025-06-30,2025,2,bankofamerica,3441142.0,276104.0,3141543.0,13.0,114.0,6.7,0.83,9.73,28.72,399460.0,89.0
2025-06-30,2025,2,bny,485781.0,38619.0,441353.0,11.9,112.0,6.9,1.09,12.73,24.87,15492.0,2.6
2025-06-30,2025,2,citigroup,2622772.0,196872.0,2408642.0,11.9,115.0,5.53,0.57,6.67,28.86,330203.0,130.0
2025-06-30,2025,2,goldmansachs,1785009.0,108943.0,1660913.0,15.3,128.0,5.3,0.91,13.69,27.56,230217.0,138.6032701758018
2025-06-30,2025,2,jpmorgan,4552482.0,336879.0,4195558.0,15.2,113.0,5.9,1.3,16.88,26.64,588038.0,59.40140150391506
2025-06-30,2025,2,morganstanley,1353870.0,98434.0,1244600.0,15.0,134.0,6.8,1.16,14.85,43.57,69537.0,70.71595417132745
2025-06-30,2025,2,statestreet,376717.0,23748.0,349410.0,12.5,1.07,5.8,0.81,11.45,34.44,2377.0,6.697
2025-06-30,2025,2,wellsfargo,1981269.0,164503.0,1798315.0,11.13,121.0,6.67,1.06,12.01,25.14,154011.0,30.0
2025-03-31,2025,1,bankofamerica,3349424.0,275082.0,3053843.0,13.3,112.0,6.8,0.84,9.7,28.5,376070.0,99.0
2025-03-31,2025,1,bny,440691.0,37788.0,397162.0,12.0,116.0,6.9,1.08,12.25,29.85,15663.0,1.7
2025-03-31,2025,1,citigroup,2571514.0,194058.0,2358256.0,11.93,117.0,5.0,0.54,6.35,28.57,386238.0,129.0
2025-03-31,2025,1,goldmansachs,1766181.0,109147.0,1641881.0,15.5,130.0,6.8,0.86,13.1,21.3,248997.0,128.70303659181596
2025-03-31,2025,1,jpmorgan,4357856.0,331375.0,4006436.0,15.6,113.0,6.0,1.41,18.25,27.51,525932.0,70.71595417132745
2025-03-31,2025,1,morganstanley,1300296.0,97062.0,1192449.0,15.7,130.0,5.6,1.14,14.6,35.89,69272.0,70.71595417132745
2025-03-31,2025,1,statestreet,372693.0,23133.0,346001.0,12.6,1.06,6.0,0.81,11.81,36.85,3524.0,9.709
2025-03-31,2025,1,wellsfargo,1950311.0,162482.0,1767405.0,11.09,125.0,6.79,1.03,11.64,29.09,124825.0,25.0
2024-12-31,2024,4,bankofamerica,3261519.0,272400.0,2965960.0,13.5,113.0,6.9,0.84,9.46,32.12,331758.0,74.0
2024-12-31,2024,4,bny,416064.0,36975.0,374387.0,11.7,115.0,6.5,1.1,11.81,30.88,14064.0,1.7
2024-12-31,2024,4,citigroup,2352945.0,190748.0,2143579.0,12.14,116.0,5.85,0.54,6.05,41.94,239767.0,125.0
2024-12-31,2024,4,goldmansachs,1675972.0,108743.0,1553976.0,15.3,126.0,6.8,0.86,12.61,24.6,274380.0,135.7746320089487
2024-12-31,2024,4,jpmorgan,4002814.0,324708.0,3658056.0,15.8,113.0,6.1,1.48,18.19,25.94,292067.0,56.57276333706197
2024-12-31,2024,4,morganstanley,1215071.0,94761.0,1109643.0,15.9,130.0,5.6,1.12,13.83,41.69,50067.0,65.05867783762126
2024-12-31,2024,4,statestreet,353240.0,22510.0,327914.0,12.0,1.07,5.7,0.83,11.2,30.22,3681.0,11.483
2024-12-31,2024,4,wellsfargo,1929845.0,160512.0,1748779.0,11.07,125.0,6.74,1.03,11.39,28.16,13571.0,24.0
2024-09-30,2024,3,bankofamerica,3324293.0,271958.0,3027781.0,13.5,115.0,6.9,0.72,8.19,31.68,397958.0,81.0
2024-09-30,2024,3,bny,427461.0,37649.0,385178.0,12.0,116.0,7.0,0.86,9.13,31.8,14574.0,2.0
2024-09-30,2024,3,citigroup,2430663.0,192733.0,2220761.0,12.16,117.0,5.0,0.34,3.5,37.47,263298.0,119.0
2024-09-30,2024,3,goldmansachs,1728080.0,107947.0,1606880.0,15.5,133.0,5.5,0.74,10.72,35.18,261617.0,130.11735567524252
2024-09-30,2024,3,jpmorgan,4210048.0,324186.0,3864212.0,15.5,114.0,6.0,1.33,16.96,28.48,384815.0,63.64435875419471
2024-09-30,2024,3,morganstanley,1258027.0,93897.0,1153356.0,14.9,134.0,5.5,0.93,11.52,49.27,58329.0,65.05867783762126
2024-09-30,2024,3,statestreet,338481.0,23012.0,312653.0,12.5,1.07,5.95,0.68,8.63,32.84,2119.0,14.117
2024-09-30,2024,3,wellsfargo,1922125.0,164657.0,1737114.0,11.34,127.0,6.92,0.95,10.41,28.52,97544.0,24.0
2024-06-30,2024,2,bankofamerica,3257996.0,267344.0,2964104.0,13.5,113.0,6.0,0.76,8.66,28.67,368106.0,96.0
2024-06-30,2024,2,bny,428539.0,36500.0,387510.0,11.5,115.0,6.8,0.8,8.86,28.17,15701.0,1.8
2024-06-30,2024,2,citigroup,2405686.0,190210.0,2196542.0,12.16,117.0,5.89,0.35,3.67,34.79,291878.0,124.0
2024-06-30,2024,2,goldmansachs,1653313.0,106710.0,1533850.0,15.9,126.0,5.4,0.7,9.95,32.13,238139.0,128.70303659181596
2024-06-30,2024,2,jpmorgan,4143003.0,316652.0,3802451.0,15.5,112.0,6.1,1.35,17.35,18.75,397320.0,79.20186867188676
2024-06-30,2024,2,morganstanley,1212447.0,91964.0,1110841.0,15.2,131.0,6.8,0.89,10.73,46.8,65677.0,67.88731600447436
2024-06-30,2024,2,statestreet,325603.0,22294.0,300841.0,12.0,1.06,5.8,0.58,7.38,31.6,2716.0,18.667
2024-06-30,2024,2,wellsfargo,1940073.0,159822.0,1761925.0,12.28,124.0,6.67,0.98,10.96,26.47,105833.0,29.0
2024-03-31,2024,1,bankofamerica,3273803.0,265155.0,2980251.0,13.4,113.0,7.1,0.77,8.95,31.1,329658.0,85.0
2024-03-31,2024,1,bny,434728.0,36226.0,394048.0,11.1,117.0,7.0,0.78,8.63,34.0,15112.0,1.8
